"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
"Total","2024 ","2024","54 years","54",,,21936,4259244,515.021,508.205,521.837
,"2024 ","2024","55 years","55","Female","F",8793,2060411,426.760,417.839,435.680
,"2024 ","2024","55 years","55","Male","M",14411,2034591,708.300,696.735,719.864
"Total","2024 ","2024","55 years","55",,,23204,4095002,566.642,559.351,573.933
,"2024 ","2024","56 years","56","Female","F",9579,2017453,474.807,465.298,484.315
,"2024 ","2024","56 years","56","Male","M",15021,1983793,757.186,745.077,769.295
"Total","2024 ","2024","56 years","56",,,24600,4001246,614.808,607.126,622.491
,"2024 ","2024","57 years","57","Female","F",10373,2029269,511.169,501.332,521.006
,"2024 ","2024","57 years","57","Male","M",16344,1977468,826.511,813.840,839.183
"Total","2024 ","2024","57 years","57",,,26717,4006737,666.802,658.806,674.798
,"2024 ","2024","58 years","58","Female","F",11613,2057734,564.359,554.094,574.623
,"2024 ","2024","58 years","58","Male","M",18302,1997765,916.124,902.851,929.397
"Total","2024 ","2024","58 years","58",,,29915,4055499,737.640,729.281,745.999
,"2024 ","2024","59 years","59","Female","F",13099,2143076,611.224,600.757,621.692
,"2024 ","2024","59 years","59","Male","M",20599,2058368,1000.744,987.078,1014.411
"Total","2024 ","2024","59 years","59",,,33698,4201444,802.058,793.494,810.621
,"2024 ","2024","60 years","60","Female","F",14680,2192297,669.617,658.785,680.450
,"2024 ","2024","60 years","60","Male","M",22728,2099540,1082.523,1068.449,1096.597
"Total","2024 ","2024","60 years","60",,,37408,4291837,871.608,862.775,880.441
,"2024 ","2024","61 years","61","Female","F",16071,2194527,732.322,720.999,743.644
,"2024 ","2024","61 years","61","Male","M",24540,2088565,1174.969,1160.268,1189.670
"Total","2024 ","2024","61 years","61",,,40611,4283092,948.170,938.948,957.392
,"2024 ","2024","62 years","62","Female","F",17403,2200624,790.821,779.072,802.571
,"2024 ","2024","62 years","62","Male","M",26495,2085253,1270.589,1255.290,1285.889
"Total","2024 ","2024","62 years","62",,,43898,4285877,1024.248,1014.666,1033.829
,"2024 ","2024","63 years","63","Female","F",18891,2196358,860.106,847.840,872.371
,"2024 ","2024","63 years","63","Male","M",28839,2068780,1394.010,1377.921,1410.099
"Total","2024 ","2024","63 years","63",,,47730,4265138,1119.073,1109.033,1129.112
,"2024 ","2024","64 years","64","Female","F",20332,2154968,943.494,930.525,956.463
,"2024 ","2024","64 years","64","Male","M",30083,2020885,1488.605,1471.783,1505.427
"Total","2024 ","2024","64 years","64",,,50415,4175853,1207.298,1196.759,1217.837
,"2024 ","2024","65 years","65","Female","F",21449,2117906,1012.746,999.192,1026.299
,"2024 ","2024","65 years","65","Male","M",31256,1966346,1589.547,1571.925,1607.170
"Total","2024 ","2024","65 years","65",,,52705,4084252,1290.444,1279.427,1301.462
,"2024 ","2024","66 years","66","Female","F",22714,2099476,1081.889,1067.819,1095.959
,"2024 ","2024","66 years","66","Male","M",32588,1936692,1682.663,1664.394,1700.932
"Total","2024 ","2024","66 years","66",,,55302,4036168,1370.161,1358.741,1381.581
,"2024 ","2024","67 years","67","Female","F",24089,2063658,1167.296,1152.555,1182.037
,"2024 ","2024","67 years","67","Male","M",34269,1885438,1817.562,1798.318,1836.806
"Total","2024 ","2024","67 years","67",,,58358,3949096,1477.756,1465.766,1489.746
,"2024 ","2024","68 years","68","Female","F",24762,1977874,1251.950,1236.357,1267.544
,"2024 ","2024","68 years","68","Male","M",34952,1782940,1960.358,1939.806,1980.910
"Total","2024 ","2024","68 years","68",,,59714,3760814,1587.795,1575.059,1600.530
,"2024 ","2024","69 years","69","Female","F",25884,1932972,1339.078,1322.764,1355.391
,"2024 ","2024","69 years","69","Male","M",35824,1726169,2075.347,2053.856,2096.838
"Total","2024 ","2024","69 years","69",,,61708,3659141,1686.407,1673.101,1699.713
,"2024 ","2024","70 years","70","Female","F",27262,1866165,1460.857,1443.515,1478.198
,"2024 ","2024","70 years","70","Male","M",37205,1646984,2258.978,2236.023,2281.932
"Total","2024 ","2024","70 years","70",,,64467,3513149,1835.020,1820.855,1849.186
,"2024 ","2024","71 years","71","Female","F",28211,1787163,1578.535,1560.115,1596.956
,"2024 ","2024","71 years","71","Male","M",37851,1561643,2423.793,2399.375,2448.212
"Total","2024 ","2024","71 years","71",,,66062,3348806,1972.703,1957.660,1987.746
,"2024 ","2024","72 years","72","Female","F",29630,1715269,1727.426,1707.757,1747.095
,"2024 ","2024","72 years","72","Male","M",38672,1486706,2601.187,2575.261,2627.112
"Total","2024 ","2024","72 years","72",,,68302,3201975,2133.121,2117.123,2149.119
,"2024 ","2024","73 years","73","Female","F",30636,1633762,1875.181,1854.183,1896.180
,"2024 ","2024","73 years","73","Male","M",39008,1394167,2797.943,2770.177,2825.709
"Total","2024 ","2024","73 years","73",,,69644,3027929,2300.054,2282.971,2317.136
,"2024 ","2024","74 years","74","Female","F",32423,1551048,2090.393,2067.639,2113.147
,"2024 ","2024","74 years","74","Male","M",39731,1312584,3026.930,2997.166,3056.694
"Total","2024 ","2024","74 years","74",,,72154,2863632,2519.667,2501.282,2538.053
,"2024 ","2024","75 years","75","Female","F",34978,1501042,2330.248,2305.827,2354.669
,"2024 ","2024","75 years","75","Male","M",42083,1260414,3338.824,3306.923,3370.724
"Total","2024 ","2024","75 years","75",,,77061,2761456,2790.593,2770.890,2810.296
,"2024 ","2024","76 years","76","Female","F",38194,1454489,2625.939,2599.604,2652.275
,"2024 ","2024","76 years","76","Male","M",44346,1217874,3641.263,3607.373,3675.154
"Total","2024 ","2024","76 years","76",,,82540,2672363,3088.652,3067.581,3109.724
,"2024 ","2024","77 years","77","Female","F",41554,1509318,2753.164,2726.692,2779.636
,"2024 ","2024","77 years","77","Male","M",47840,1274581,3753.390,3719.756,3787.025
"Total","2024 ","2024","77 years","77",,,89394,2783899,3211.108,3190.058,3232.158
,"2024 ","2024","78 years","78","Female","F",35852,1071762,3345.146,3310.519,3379.773
,"2024 ","2024","78 years","78","Male","M",39672,869250,4563.934,4519.023,4608.845
"Total","2024 ","2024","78 years","78",,,75524,1941012,3890.960,3863.210,3918.710
,"2024 ","2024","79 years","79","Female","F",36912,1020847,3615.821,3578.933,3652.708
,"2024 ","2024","79 years","79","Male","M",40465,813749,4972.664,4924.212,5021.115
"Total","2024 ","2024","79 years","79",,,77377,1834596,4217.659,4187.941,4247.377
,"2024 ","2024","80 years","80","Female","F",40169,981562,4092.355,4052.334,4132.375
,"2024 ","2024","80 years","80","Male","M",42810,769804,5561.156,5508.475,5613.836
"Total","2024 ","2024","80 years","80",,,82979,1751366,4737.959,4705.721,4770.196
,"2024 ","2024","81 years","81","Female","F",44589,976906,4564.308,4521.942,4606.674
,"2024 ","2024","81 years","81","Male","M",45650,754156,6053.124,5997.596,6108.653
"Total","2024 ","2024","81 years","81",,,90239,1731062,5212.927,5178.914,5246.940
,"2024 ","2024","82 years","82","Female","F",42440,824680,5146.239,5097.277,5195.200
,"2024 ","2024","82 years","82","Male","M",42484,620463,6847.145,6782.034,6912.256
"Total","2024 ","2024","82 years","82",,,84924,1445143,5876.512,5836.988,5916.036
,"2024 ","2024","83 years","83","Female","F",41732,728127,5731.418,5676.428,5786.408
,"2024 ","2024","83 years","83","Male","M",39832,532352,7482.267,7408.787,7555.748
"Total","2024 ","2024","83 years","83",,,81564,1260479,6470.873,6426.465,6515.282
,"2024 ","2024","84 years","84","Female","F",41915,654149,6407.562,6346.219,6468.904
,"2024 ","2024","84 years","84","Male","M",39427,464288,8491.927,8408.104,8575.751
"Total","2024 ","2024","84 years","84",,,81342,1118437,7272.828,7222.847,7322.809
,"2024 ","2024","85 years","85","Female","F",43168,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","85 years","85","Male","M",38734,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","85 years","85",,,81902,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","86 years","86","Female","F",43600,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","86 years","86","Male","M",38170,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","86 years","86",,,81770,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","87 years","87","Female","F",43264,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","87 years","87","Male","M",35882,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","87 years","87",,,79146,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","88 years","88","Female","F",43839,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","88 years","88","Male","M",34674,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","88 years","88",,,78513,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","89 years","89","Female","F",43062,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","89 years","89","Male","M",32767,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","89 years","89",,,75829,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","90 years","90","Female","F",40835,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","90 years","90","Male","M",29426,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","90 years","90",,,70261,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","91 years","91","Female","F",39844,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","91 years","91","Male","M",27407,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","91 years","91",,,67251,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","92 years","92","Female","F",38220,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","92 years","92","Male","M",24761,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","92 years","92",,,62981,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","93 years","93","Female","F",36171,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","93 years","93","Male","M",21585,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","93 years","93",,,57756,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","94 years","94","Female","F",32832,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","94 years","94","Male","M",18154,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","94 years","94",,,50986,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","95 years","95","Female","F",28812,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","95 years","95","Male","M",14375,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","95 years","95",,,43187,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","96 years","96","Female","F",25306,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","96 years","96","Male","M",11627,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","96 years","96",,,36933,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","97 years","97","Female","F",20505,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","97 years","97","Male","M",8664,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","97 years","97",,,29169,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","98 years","98","Female","F",16451,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","98 years","98","Male","M",6311,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","98 years","98",,,22762,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","99 years","99","Female","F",12633,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","99 years","99","Male","M",4358,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","99 years","99",,,16991,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","100+ years","100","Female","F",27426,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","100+ years","100","Male","M",7377,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","100+ years","100",,,34803,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","Not Stated","NS","Female","F",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2024 ","2024","Not Stated","NS","Male","M",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024","Not Stated","NS",,,57,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2024 ","2024",,,,,3072666,340110988,903.430,902.420,904.441
"Total",,,,,,,12907718,1340207185,963.114,962.588,963.639
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"Year/Month: 2021; 2022; 2023; 2024"
"Group By: Year; Single-Year Ages; Sex"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Jun 29, 2026 8:59:36 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Jun 29, 2026 8:59:36 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Ages 85-100."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated."
"3. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Confidence-Intervals."
"4. The population figures for year 2024 are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 27, 2024. The 2024 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for year 2023 are single-race estimates of the July 1"
"resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2022 are"
"single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal series released by the Census Bureau"
"on June 22, 2023. The 2022 series is based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1,"
"2020 decennial population count. The Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates"
"for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The"
"population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"6. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Connecticut-2022."
"7. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
