Year Code,Single-Year Ages Code,Sex Code,Deaths,Population
2000.0,21,T,3779,3841082
2000.0,22,F,863,1837099
2000.0,22,M,2649,1921549
2000.0,22,T,3512,3758648
2000.0,23,F,850,1798182
2000.0,23,M,2546,1875400
2000.0,23,T,3396,3673582
2000.0,24,F,822,1787269
2000.0,24,M,2512,1853972
2000.0,24,T,3334,3641241
2000.0,25,F,894,1838640
2000.0,25,M,2405,1905899
2000.0,25,T,3299,3744539
2000.0,26,F,900,1787277
2000.0,26,M,2349,1832383
2000.0,26,T,3249,3619660
2000.0,27,F,999,1874853
2000.0,27,M,2483,1914947
2000.0,27,T,3482,3789800
2000.0,28,F,1068,1974005
2000.0,28,M,2561,2010807
2000.0,28,T,3629,3984812
2000.0,29,F,1201,2107801
2000.0,29,M,2821,2134724
2000.0,29,T,4022,4242525
2000.0,30,F,1260,2115732
2000.0,30,M,2765,2174238
2000.0,30,T,4025,4289970
2000.0,31,F,1366,1991793
2000.0,31,M,2889,2019782
2000.0,31,T,4255,4011575
2000.0,32,F,1464,1985244
2000.0,32,M,2918,2008877
2000.0,32,T,4382,3994121
2000.0,33,F,1620,2008556
2000.0,33,M,3166,2018017
2000.0,33,T,4786,4026573
2000.0,34,F,1789,2087294
2000.0,34,M,3533,2100855
2000.0,34,T,5322,4188149
2000.0,35,F,2030,2250497
2000.0,35,M,3861,2265621
2000.0,35,T,5891,4516118
2000.0,36,F,2291,2263639
2000.0,36,M,4275,2247529
2000.0,36,T,6566,4511168
2000.0,37,F,2611,2266938
2000.0,37,M,4624,2250122
2000.0,37,T,7235,4517060
2000.0,38,F,2802,2285731
2000.0,38,M,5099,2268083
2000.0,38,T,7901,4553814
2000.0,39,F,3154,2321163
2000.0,39,M,5393,2287341
2000.0,39,T,8547,4608504
2000.0,40,F,3402,2358828
2000.0,40,M,6003,2352606
2000.0,40,T,9405,4711434
2000.0,41,F,3681,2253642
2000.0,41,M,6292,2213034
2000.0,41,T,9973,4466676
2000.0,42,F,3869,2290677
2000.0,42,M,6731,2256543
2000.0,42,T,10600,4547220
2000.0,43,F,4290,2229419
2000.0,43,M,7339,2178451
2000.0,43,T,11629,4407870
2000.0,44,F,4371,2180195
2000.0,44,M,7680,2128468
2000.0,44,T,12051,4308663
2000.0,45,F,4735,2190345
2000.0,45,M,8170,2151115
2000.0,45,T,12905,4341460
2000.0,46,F,4811,2077993
2000.0,46,M,8579,2009570
2000.0,46,T,13390,4087563
2000.0,47,F,5148,2043564
2000.0,47,M,9016,1976128
2000.0,47,T,14164,4019692
2000.0,48,F,5356,1975473
2000.0,48,M,9531,1909672
2000.0,48,T,14887,3885145
2000.0,49,F,5661,1915523
2000.0,49,M,9825,1843021
2000.0,49,T,15486,3758544
2000.0,50,F,6100,1936877
2000.0,50,M,10256,1871638
2000.0,50,T,16356,3808515
2000.0,51,F,6378,1847534
2000.0,51,M,10614,1769463
2000.0,51,T,16992,3616997
2000.0,52,F,7039,1891651
2000.0,52,M,11488,1815785
2000.0,52,T,18527,3707436
2000.0,53,F,7848,1856617
2000.0,53,M,12364,1778423
2000.0,53,T,20212,3635040
2000.0,54,F,6867,1445145
2000.0,54,M,10555,1372415
2000.0,54,T,17422,2817560
2000.0,55,F,7283,1463741
2000.0,55,M,11498,1386859
2000.0,55,T,18781,2850600
2000.0,56,F,8069,1462265
2000.0,56,M,12334,1375187
2000.0,56,T,20403,2837452
2000.0,57,F,8930,1479824
2000.0,57,M,13597,1384196
2000.0,57,T,22527,2864020
2000.0,58,F,8892,1317443
2000.0,58,M,13356,1222709
2000.0,58,T,22248,2540152
2000.0,59,F,9152,1237235
2000.0,59,M,13640,1139778
2000.0,59,T,22792,2377013
2000.0,60,F,9596,1208384
2000.0,60,M,14152,1111560
2000.0,60,T,23748,2319944
2000.0,61,F,10435,1159548
2000.0,61,M,14657,1061679
2000.0,61,T,25092,2221227
2000.0,62,F,11092,1137207
2000.0,62,M,15832,1033865
2000.0,62,T,26924,2171072
2000.0,63,F,11507,1081948
2000.0,63,M,16511,971203
2000.0,63,T,28018,2053151
2000.0,64,F,12569,1081733
2000.0,64,M,17744,958320
2000.0,64,T,30313,2040053
2000.0,65,F,13536,1079260
2000.0,65,M,18614,950651
2000.0,65,T,32150,2029911
2000.0,66,F,14175,996164
2000.0,66,M,18960,864156
2000.0,66,T,33135,1860320
2000.0,67,F,15384,1022372
2000.0,67,M,20658,874079
2000.0,67,T,36042,1896451
2000.0,68,F,16719,1008370
2000.0,68,M,22082,856145
2000.0,68,T,38801,1864515
2000.0,69,F,17990,1027017
2000.0,69,M,23621,855331
2000.0,69,T,41611,1882348
2000.0,70,F,19904,1030658
2000.0,70,M,25690,844517
2000.0,70,T,45594,1875175
2000.0,71,F,21150,989752
2000.0,71,M,27007,798517
2000.0,71,T,48157,1788269
2000.0,72,F,23224,1000532
2000.0,72,M,29167,791164
2000.0,72,T,52391,1791696
2000.0,73,F,24886,973735
2000.0,73,M,30297,751433
2000.0,73,T,55183,1725168
2000.0,74,F,26833,959852
2000.0,74,M,31312,717281
2000.0,74,T,58145,1677133
2000.0,75,F,29663,955776
2000.0,75,M,32971,695865
2000.0,75,T,62634,1651641
2000.0,76,F,31019,908794
2000.0,76,M,33727,647773
2000.0,76,T,64746,1556567
2000.0,77,F,32347,861039
2000.0,77,M,34530,599742
2000.0,77,T,66877,1460781
2000.0,78,F,35009,852548
2000.0,78,M,35746,579368
2000.0,78,T,70755,1431916
2000.0,79,F,36335,793200
2000.0,79,M,36353,521708
2000.0,79,T,72688,1314908
2000.0,80,F,38076,740352
2000.0,80,M,35604,467013
2000.0,80,T,73680,1207365
2000.0,81,F,37461,665502
2000.0,81,M,33516,406546
2000.0,81,T,70977,1072048
2000.0,82,F,39322,616747
2000.0,82,M,34053,364815
2000.0,82,T,73375,981562
2000.0,83,F,39953,565774
2000.0,83,M,32350,317289
2000.0,83,T,72303,883063
2000.0,84,F,41041,522095
2000.0,84,M,31369,279234
2000.0,84,T,72410,801329
2000.0,85,F,42558,Not Applicable
2000.0,85,M,30401,Not Applicable
2000.0,85,T,72959,Not Applicable
2000.0,86,F,42620,Not Applicable
2000.0,86,M,28512,Not Applicable
2000.0,86,T,71132,Not Applicable
2000.0,87,F,42236,Not Applicable
2000.0,87,M,26109,Not Applicable
2000.0,87,T,68345,Not Applicable
2000.0,88,F,40423,Not Applicable
2000.0,88,M,23161,Not Applicable
2000.0,88,T,63584,Not Applicable
2000.0,89,F,39099,Not Applicable
2000.0,89,M,20694,Not Applicable
2000.0,89,T,59793,Not Applicable
2000.0,90,F,37181,Not Applicable
2000.0,90,M,17771,Not Applicable
2000.0,90,T,54952,Not Applicable
2000.0,91,F,34358,Not Applicable
2000.0,91,M,15155,Not Applicable
2000.0,91,T,49513,Not Applicable
2000.0,92,F,31999,Not Applicable
2000.0,92,M,12902,Not Applicable
2000.0,92,T,44901,Not Applicable
2000.0,93,F,27542,Not Applicable
2000.0,93,M,10455,Not Applicable
2000.0,93,T,37997,Not Applicable
2000.0,94,F,23764,Not Applicable
2000.0,94,M,8156,Not Applicable
2000.0,94,T,31920,Not Applicable
2000.0,95,F,19959,Not Applicable
2000.0,95,M,6226,Not Applicable
2000.0,95,T,26185,Not Applicable
2000.0,96,F,16228,Not Applicable
2000.0,96,M,4783,Not Applicable
2000.0,96,T,21011,Not Applicable
2000.0,97,F,12949,Not Applicable
2000.0,97,M,3453,Not Applicable
2000.0,97,T,16402,Not Applicable
2000.0,98,F,9725,Not Applicable
2000.0,98,M,2409,Not Applicable
2000.0,98,T,12134,Not Applicable
2000.0,99,F,7228,Not Applicable
2000.0,99,M,1681,Not Applicable
2000.0,99,T,8909,Not Applicable
2000.0,100,F,15560,Not Applicable
2000.0,100,M,2874,Not Applicable
2000.0,100,T,18434,Not Applicable
2000.0,NS,F,67,Not Applicable
2000.0,NS,M,289,Not Applicable
2000.0,NS,T,356,Not Applicable
2001.0,0,F,12091,1962905
2001.0,0,M,15477,2049753
2001.0,0,T,27568,4012658
2001.0,1,F,891,1882601
2001.0,1,M,1111,1972806
2001.0,1,T,2002,3855407
2001.0,2,F,556,1857181
2001.0,2,M,747,1942915
2001.0,2,T,1303,3800096
2001.0,3,F,420,1857443
2001.0,3,M,563,1945267
2001.0,3,T,983,3802710
2001.0,4,F,341,1871311
2001.0,4,M,478,1956035
2001.0,4,T,819,3827346
2001.0,5,F,287,1909212
2001.0,5,M,383,2000821
2001.0,5,T,670,3910033
2001.0,6,F,282,1937940
2001.0,6,M,351,2034568
2001.0,6,T,633,3972508
2001.0,7,F,275,1958002
2001.0,7,M,306,2054047
2001.0,7,T,581,4012049
2001.0,8,F,246,1998184
2001.0,8,M,338,2101358
2001.0,8,T,584,4099542
2001.0,9,F,276,2040960
2001.0,9,M,349,2138270
2001.0,9,T,625,4179230
2001.0,10,F,245,2087011
2001.0,10,M,391,2190238
2001.0,10,T,636,4277249
2001.0,11,F,272,2117318
2001.0,11,M,409,2227595
2001.0,11,T,681,4344913
2001.0,12,F,301,2040841
2001.0,12,M,435,2143114
2001.0,12,T,736,4183955
2001.0,13,F,325,2006423
2001.0,13,M,536,2106768
2001.0,13,T,861,4113191
2001.0,14,F,418,1979876
2001.0,14,M,670,2079494
2001.0,14,T,1088,4059370
2001.0,15,F,499,1987434
2001.0,15,M,962,2096444
2001.0,15,T,1461,4083878
2001.0,16,F,741,1992853
2001.0,16,M,1441,2115451
2001.0,16,T,2182,4108304
2001.0,17,F,849,1947338
2001.0,17,M,1922,2081398
2001.0,17,T,2771,4028736
2001.0,18,F,830,1977996
2001.0,18,M,2547,2124855
2001.0,18,T,3377,4102851
2001.0,19,F,870,2003276
2001.0,19,M,2894,2129239
2001.0,19,T,3764,4132515
2001.0,20,F,900,2034401
2001.0,20,M,2857,2122324
2001.0,20,T,3757,4156725
2001.0,21,F,959,2025446
2001.0,21,M,3136,2107865
2001.0,21,T,4095,4133311
2001.0,22,F,839,1916731
2001.0,22,M,2876,2002585
2001.0,22,T,3715,3919316
2001.0,23,F,916,1860062
2001.0,23,M,2693,1938492
2001.0,23,T,3609,3798554
2001.0,24,F,886,1840310
2001.0,24,M,2635,1909070
2001.0,24,T,3521,3749380
2001.0,25,F,934,1800155
2001.0,25,M,2472,1859564
2001.0,25,T,3406,3659719
2001.0,26,F,938,1858168
2001.0,26,M,2635,1909984
2001.0,26,T,3573,3768152
2001.0,27,F,1013,1814890
2001.0,27,M,2498,1853810
2001.0,27,T,3511,3668700
2001.0,28,F,1098,1867542
2001.0,28,M,2665,1898587
2001.0,28,T,3763,3766129
2001.0,29,F,1222,1962358
2001.0,29,M,2736,1994289
2001.0,29,T,3958,3956647
2001.0,30,F,1374,2096477
2001.0,30,M,3008,2121783
2001.0,30,T,4382,4218260
2001.0,31,F,1372,2128146
2001.0,31,M,3066,2174543
2001.0,31,T,4438,4302689
2001.0,32,F,1556,2026967
2001.0,32,M,3015,2055935
2001.0,32,T,4571,4082902
2001.0,33,F,1639,1998254
2001.0,33,M,3240,2016658
2001.0,33,T,4879,4014912
2001.0,34,F,1780,2014086
2001.0,34,M,3422,2019326
2001.0,34,T,5202,4033412
2001.0,35,F,2007,2075753
2001.0,35,M,3894,2085387
2001.0,35,T,5901,4161140
2001.0,36,F,2341,2225186
2001.0,36,M,4256,2232492
2001.0,36,T,6597,4457678
2001.0,37,F,2613,2274547
2001.0,37,M,4859,2260101
2001.0,37,T,7472,4534648
2001.0,38,F,2971,2277958
2001.0,38,M,5202,2251371
2001.0,38,T,8173,4529329
2001.0,39,F,3236,2288066
2001.0,39,M,5516,2265057
2001.0,39,T,8752,4553123
2001.0,40,F,3537,2322098
2001.0,40,M,5970,2284503
2001.0,40,T,9507,4606601
2001.0,41,F,3731,2358452
2001.0,41,M,6473,2342019
2001.0,41,T,10204,4700471
2001.0,42,F,3970,2276695
2001.0,42,M,6689,2237740
2001.0,42,T,10659,4514435
2001.0,43,F,4420,2281350
2001.0,43,M,7441,2242083
2001.0,43,T,11861,4523433
2001.0,44,F,4684,2262324
2001.0,44,M,7864,2208570
2001.0,44,T,12548,4470894
2001.0,45,F,4940,2180011
2001.0,45,M,8291,2121944
2001.0,45,T,13231,4301955
2001.0,46,F,5181,2188271
2001.0,46,M,8840,2143311
2001.0,46,T,14021,4331582
2001.0,47,F,5404,2109830
2001.0,47,M,9429,2042517
2001.0,47,T,14833,4152347
2001.0,48,F,5514,2046074
2001.0,48,M,9814,1972847
2001.0,48,T,15328,4018921
2001.0,49,F,6078,1981763
2001.0,49,M,10193,1912415
2001.0,49,T,16271,3894178
2001.0,50,F,6160,1937183
2001.0,50,M,10480,1858963
2001.0,50,T,16640,3796146
2001.0,51,F,6524,1933991
